BAT 22.42 -24.85 245 S2B-PH-SM4-TB(LF)(SN) JST-PH-2-SMT-RA
C1  0.05 -20.15 270 100nF/25V/10% 0402
C2 -19.20 -2.10  90 10uF/16V/10% 0603
C3 11.73 -18.94 270 100uF/6,3V/10% D/7343-31R
C4 -7.50 18.50  90 10uF/16V/10% 0603
C5 -7.40 15.70 270 100nF/25V/10% 0402
C6 -16.35 -17.10 225 2,2pF/50V 0402
C7 -10.80 -24.35 180 100nF/25V/10% 0402
C8 -5.35 -19.50 270 100nF/25V/10% 0402
C9 -16.00 -17.95 225 1nF/25V/5% 0402
C10 -13.70 -13.85 135 47nF/25V/10% 0402
C11 -8.75 10.25 270 100nF/25V/10% 0402
C12 -17.70 -16.45 135 1,0pF/50V 0402
C13 -19.05 -19.80 225 1,5pF/50V 0402
C14 -14.30 -14.45 135 2,2nF/25V/5% 0402
C15 -17.35 -19.30  45 100nF/25V/10% 0402
C16  3.60 -24.10   0 100nF/25V/10% 0402
C17 -20.20 -2.05  90 100nF/25V/10% 0402
C18 20.75 -5.00 180 100nF/25V/10% 0402
C19 -16.05 -21.85 225 100nF/25V/10% 0402
C20 -15.40 11.70 245 100nF/25V/10% 0402
C21 -20.00 16.40  65 12pF/50V/1% 0402
C22 -15.60 17.10 180 12pF/50V/1% 0402
C23 -18.70 -20.65 225 12pF/50V/1% 0402
C24 -20.30 -8.55 270 100nF/25V/10% 0402
C25 -16.95 -21.45 225 12pF/50V/1% 0402
C26  3.90 -23.05   0 10uF/16V/10% 0603
C27  5.30 12.00  90 10uF/16V/10% 0603
C28  6.35 11.70  90 100nF/25V/10% 0402
C29 -16.70  4.35   0 10uF/16V/10% 0603
C30 -17.00  3.25   0 100nF/25V/10% 0402
C31 18.25  3.90 180 100nF/25V/10% 0402
C32 12.40  0.15  90 100nF/25V/10% 0402
C33 17.10 -1.50 180 100nF/25V/10% 0402
C34 15.15 -1.50 180 100nF/25V/10% 0402
C35 12.45  5.75 180 100nF/25V/10% 0402
C36 15.95  4.15  90 100nF/25V/10% 0402
C37  8.60 12.15 180 100nF/25V/10% 0402
C38  8.35 14.25 180 10uF/16V/10% 0603
C39 -6.69 12.61 270 47pF/16V/5% 0402
C40 -5.64 10.54 180 47pF/16V/5% 0402
C41 -12.15 -24.55 270 100nF/25V/10% 0402
C42 -12.95 -24.55 270 100nF/25V/10% 0402
D1  1.34 12.19  90 PRTR5V0U2F SOT886
D3  5.05 -21.55   0 MBR1020VL SOD-123FL
D4 -8.00 21.70  90  SOD323-R
F1 14.05 17.60 140 MICROSMDCH050F-02 R1210
I2C -22.01  7.62 245 1125S-SMT-XP 1125S-SMT-XP
IC1 -10.95 -18.55 135 NRF51822 QFN48
IC3 -0.03 -22.40  90 DRV8837 WSON8
IC4 -11.65 15.70 180 MKL26Z128VFM4 QFN_32_5X5X0P9
IC5 16.60  0.80   0 MCP6001 SOT23-5
IC6 12.90 10.95  90 IS25LP128F VQFN8_6X5
L1 -1.86 12.21   0 2x47nH USB_2.0_FILTER_0805
